British name,Scientific name,Thumbnail,Images,Description
Capercaillie,Tetrao urogallus,,,
Black Grouse,Lyrurus tetrix,,,
Ptarmigan,Lagopus muta,,,
Red Grouse,Lagopus lagopus,,,
Red-legged Partridge,Alectoris rufa,,,
Grey Partridge,Perdix perdix,,,
Quail,Coturnix coturnix,,,
Pheasant,Phasianus colchicus,,,
Golden Pheasant,Chrysolophus pictus,,,
Lady Amherst's Pheasant,Chrysolophus amherstiae,,,
Brent Goose,Branta bernicla,,,
Red-breasted Goose,Branta ruficollis,,,
Canada Goose,Branta canadensis,,,
Barnacle Goose,Branta leucopsis,,,
Cackling Goose,Branta hutchinsii,,,
Snow Goose,Anser caerulescens,,,
Greylag Goose,Anser anser,,,
Taiga Bean Goose,Anser fabalis,,,
Pink-footed Goose,Anser brachyrhynchus,,,
Tundra Bean Goose,Anser serrirostris,,,
White-fronted Goose,Anser albifrons,,,
Lesser White-fronted Goose,Anser erythropus,,,
Mute Swan,Cygnus olor,,,
Bewick's Swan,Cygnus columbianus,,,
Whooper Swan,Cygnus cygnus,,,
Egyptian Goose,Alopochen aegyptiaca,,,
Shelduck,Tadorna tadorna,,,
Ruddy Shelduck,Tadorna ferruginea,,,
Mandarin Duck,Aix galericulata,,,
Baikal Teal,Sibirionetta formosa,,,
Garganey,Spatula querquedula,,,
Blue-winged Teal,Spatula discors,,,
Shoveler,Spatula clypeata,,,
Gadwall,Mareca strepera,,,
Falcated Duck,Mareca falcata,,,
Wigeon,Mareca penelope,,,
American Wigeon,Mareca americana,,,
Mallard,Anas platyrhynchos,,,
Black Duck,Anas rubripes,,,
Pintail,Anas acuta,,,
Teal,Anas crecca,,,
Green-winged Teal,Anas carolinensis,,,
Red-crested Pochard,Netta rufina,,,
Canvasback,Aythya valisineria,,,
Redhead,Aythya americana,,,
Pochard,Aythya ferina,,,
Ferruginous Duck,Aythya nyroca,,,
Ring-necked Duck,Aythya collaris,,,
Tufted Duck,Aythya fuligula,,,
Scaup,Aythya marila,,,
Lesser Scaup,Aythya affinis,,,
Steller's Eider,Polysticta stelleri,,,
King Eider,Somateria spectabilis,,,
Eider,Somateria mollissima,,,
Harlequin Duck,Histrionicus histrionicus,,,
Surf Scoter,Melanitta perspicillata,,,
Velvet Scoter,Melanitta fusca,,,
White-winged Scoter,Melanitta deglandi,,,
Common Scoter,Melanitta nigra,,,
Black Scoter,Melanitta americana,,,
Long-tailed Duck,Clangula hyemalis,,,
Bufflehead,Bucephala albeola,,,
Goldeneye,Bucephala clangula,,,
Barrow's Goldeneye,Bucephala islandica,,,
Smew,Mergellus albellus,,,
Hooded Merganser,Lophodytes cucullatus,,,
Goosander,Mergus merganser,,,
Red-breasted Merganser,Mergus serrator,,,
Ruddy Duck,Oxyura jamaicensis,,,
Common Nighthawk,Chordeiles minor,,,
Red-necked Nightjar,Caprimulgus ruficollis,,,
