British name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,Thumbnail,Images,Description
Capercaillie,Western Capercaillie,Tetrao urogallus,C3E*,,,,,,
Black Grouse,,Lyrurus tetrix,AE,,,,,,
Ptarmigan,Rock Ptarmigan,Lagopus muta,A,,,,,,
Red Grouse,Willow Ptarmigan,Lagopus lagopus,A,,,,,,
Red-legged Partridge,,Alectoris rufa,C1E*,,,,,,
Grey Partridge,,Perdix perdix,AC2E*,,,,,,
Quail,Common Quail,Coturnix coturnix,AE*,,,,,,
Pheasant,Common Pheasant,Phasianus colchicus,C1E*,,,,,,
Golden Pheasant,,Chrysolophus pictus,C1E*,,,,,,
Lady Amherst's Pheasant,,Chrysolophus amherstiae,C6E*,,,,,,
Brent Goose,Brant Goose,Branta bernicla,AE,,,,,,
Red-breasted Goose,,Branta ruficollis,AE*,†,,,,,
Canada Goose,,Branta canadensis,AC2E*,‡,,,,,
Barnacle Goose,,Branta leucopsis,AC2E*,,,,,,
Cackling Goose,,Branta hutchinsii,AE,†,,,,,
Snow Goose,,Anser caerulescens,AC2E*,,,,,,
Greylag Goose,,Anser anser,AC2C4E*,,,,,,
Taiga Bean Goose,,Anser fabalis,AE*,,,,,,
Pink-footed Goose,,Anser brachyrhynchus,AE*,,,,,,
Tundra Bean Goose,,Anser serrirostris,AE,,,,,,
White-fronted Goose,Greater White-fronted Goose,Anser albifrons,AE*,,,,,,
Lesser White-fronted Goose,,Anser erythropus,AE*,†,,,,,
Mute Swan,,Cygnus olor,AC2,,,,,,
Bewick's Swan,Tundra Swan,Cygnus columbianus,AE,‡,,,,,
Whooper Swan,,Cygnus cygnus,AE*,,,,,,
Egyptian Goose,,Alopochen aegyptiaca,C1C5E*,,,,,,
Shelduck,Common Shelduck,Tadorna tadorna,A,,,,,,
Ruddy Shelduck,,Tadorna ferruginea,BDE*,†,,,,,
Mandarin Duck,,Aix galericulata,C1E*,,,,,,
Baikal Teal,,Sibirionetta formosa,AE,†,,,,,
Garganey,,Spatula querquedula,A,,,,,,
Blue-winged Teal,,Spatula discors,AE*,†,,,,,
Shoveler,Northern Shoveler,Spatula clypeata,A,,,,,,
Gadwall,,Mareca strepera,AC2E*,,,,,,
Falcated Duck,,Mareca falcata,AE,†,,,,,
Wigeon,Eurasian Wigeon,Mareca penelope,AE*,,,,,,
American Wigeon,,Mareca americana,AE,,,,,,
Mallard,,Anas platyrhynchos,AC2C4E*,,,,,,
Black Duck,American Black Duck,Anas rubripes,A,†,,,,,
Pintail,Northern Pintail,Anas acuta,AE,,,,,,
Teal,Eurasian Teal,Anas crecca,A,,,,,,
Green-winged Teal,,Anas carolinensis,A,,,,,,
Red-crested Pochard,,Netta rufina,AC2E*,,,,,,
Canvasback,,Aythya valisineria,AE,†,,,,,
Redhead,,Aythya americana,AE,†,,,,,
Pochard,Common Pochard,Aythya ferina,AE*,,,,,,
Ferruginous Duck,,Aythya nyroca,AE,†,,,,,
Ring-necked Duck,,Aythya collaris,AE,,,,,,
Tufted Duck,,Aythya fuligula,A,,,,,,
Scaup,Greater Scaup,Aythya marila,A,,,,,,
Lesser Scaup,,Aythya affinis,A,†,,,,,
Steller's Eider,,Polysticta stelleri,A,†,,,,,
King Eider,,Somateria spectabilis,A,†,,,,,
Eider,Common Eider,Somateria mollissima,A,,,,,,
Harlequin Duck,,Histrionicus histrionicus,A,†,,,,,
Surf Scoter,,Melanitta perspicillata,A,,,,,,
Velvet Scoter,,Melanitta fusca,A,,,,,,
White-winged Scoter,,Melanitta deglandi,A,†,,,,,
Common Scoter,,Melanitta nigra,A,,,,,,
Black Scoter,,Melanitta americana,A,†,,,,,
Long-tailed Duck,,Clangula hyemalis,A,,,,,,
Bufflehead,,Bucephala albeola,AE,†,,,,,
Goldeneye,Common Goldeneye,Bucephala clangula,AE*,,,,,,
Barrow's Goldeneye,,Bucephala islandica,AE,†,,,,,
Smew,,Mergellus albellus,A,,,,,,
Hooded Merganser,,Lophodytes cucullatus,AE,†,,,,,
Goosander,Common Merganser,Mergus merganser,A,,,,,,
Red-breasted Merganser,,Mergus serrator,A,,,,,,
Ruddy Duck,,Oxyura jamaicensis,C1E*,,,,,,
Common Nighthawk,,Chordeiles minor,A,†,,,,,
Red-necked Nightjar,,Caprimulgus ruficollis,B,†,,,,,
Nightjar,European Nightjar,Caprimulgus europaeus,A,,,,,,
Egyptian Nightjar,,Caprimulgus aegyptius,A,†,,,,,
White-throated Needletail,,Hirundapus caudacutus,A,†,,,,,
Chimney Swift,,Chaetura pelagica,A,†,,,,,
Alpine Swift,,Tachymarptis melba,A,,,,,,
Swift,Common Swift,Apus apus,A,,,,,,
Pallid Swift,,Apus pallidus,A,†,,,,,
Pacific Swift,,Apus pacificus,A,†,,,,,
Little Swift,,Apus affinis,A,†,,,,,
White-rumped Swift,,Apus caffer,A,†,,,,,
Great Bustard,,Otis tarda,AE*,†,,,,,
Macqueen's Bustard,,Chlamydotis macqueenii,A,†,,,,,
Little Bustard,,Tetrax tetrax,A,†,,,,,
Great Spotted Cuckoo,,Clamator glandarius,A,†,,,,,
Yellow-billed Cuckoo,,Coccyzus americanus,A,†,,,,,
Black-billed Cuckoo,,Coccyzus erythropthalmus,A,†,,,,,
Cuckoo,Common Cuckoo,Cuculus canorus,A,,,,,,
Pallas's Sandgrouse,,Syrrhaptes paradoxus,A,†,,,,,
Rock Dove,,Columba livia,AC4E*,,,,,,
Stock Dove,,Columba oenas,A,,,,,,
Woodpigeon,Common Wood Pigeon,Columba palumbus,A,,,,,,
Turtle Dove,European Turtle Dove,Streptopelia turtur,A,,,,,,
Oriental Turtle Dove,,Streptopelia orientalis,A,†,,,,,
Collared Dove,Eurasian Collared Dove,Streptopelia decaocto,A,,,,,,
Mourning Dove,,Zenaida macroura,A,†,,,,,
Water Rail,,Rallus aquaticus,A,,,,,,
Corncrake,Corn Crake,Crex crex,AE*,,,,,,
Sora Rail,Sora,Porzana carolina,A,†,,,,,
Spotted Crake,,Porzana porzana,A,,,,,,
Moorhen,Common Moorhen,Gallinula chloropus,A,,,,,,
Coot,Eurasian Coot,Fulica atra,A,,,,,,
American Coot,,Fulica americana,A,†,,,,,
Allen's Gallinule,,Porphyrio alleni,A,†,,,,,
American Purple Gallinule,Purple Gallinule,Porphyrio martinica,A,†,,,,,
Western Swamphen,,Porphyrio porphyrio,AE,†,,,,,
Baillon's Crake,,Zapornia pusilla,A,†,,,,,
Little Crake,,Zapornia parva,A,†,,,,,
Sandhill Crane,,Antigone canadensis,A,†,,,,,
Crane,Common Crane,Grus grus,AE*,,,,,,
Little Grebe,,Tachybaptus ruficollis,A,,,,,,
Pied-billed Grebe,,Podilymbus podiceps,A,†,,,,,
Red-necked Grebe,,Podiceps grisegena,A,‡,,,,,
Great Crested Grebe,,Podiceps cristatus,A,,,,,,
Slavonian Grebe,Horned Grebe,Podiceps auritus,A,,,,,,
Black-necked Grebe,,Podiceps nigricollis,A,,,,,,
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,A,,,,,,
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,A,,,,,,
Black-winged Stilt,,Himantopus himantopus,A,,,,,,
Avocet,Pied Avocet,Recurvirostra avosetta,AE,,,,,,
Lapwing,Northern Lapwing,Vanellus vanellus,A,,,,,,
Sociable Plover,Sociable Lapwing,Vanellus gregarius,A,†,,,,,
White-tailed Plover,White-tailed Lapwing,Vanellus leucurus,A,†,,,,,
Golden Plover,European Golden Plover,Pluvialis apricaria,A,,,,,,
Pacific Golden Plover,,Pluvialis fulva,A,†,,,,,
American Golden Plover,,Pluvialis dominica,A,,,,,,
Grey Plover,,Pluvialis squatarola,A,,,,,,
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,A,,,,,,
Semipalmated Plover,,Charadrius semipalmatus,A,†,,,,,
Little Ringed Plover,,Charadrius dubius,A,,,,,,
Killdeer,,Charadrius vociferus,A,†,,,,,
Kentish Plover,,Charadrius alexandrinus,A,†,,,,,
Lesser Sand Plover,,Charadrius mongolus,A,†,,,,,
Greater Sand Plover,,Charadrius leschenaultii,A,†,,,,,
Caspian Plover,,Charadrius asiaticus,A,†,,,,,
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,,,,,,
Upland Sandpiper,,Bartramia longicauda,A,†,,,,,
